date,code,close,open,high,low,volume
2019/1/25,sz50,2441.64,2419.26,2453.67,2418.01,2570000000
2019/1/28,sz50,2437.03,2455.28,2473.12,2429.88,2350000000
2019/1/29,sz50,2455.9,2433.31,2461.52,2423.46,2190000000
2019/1/30,sz50,2440.01,2445.86,2462.61,2439.33,1780000000
2019/1/31,sz50,2483.47,2454.64,2487.1,2450.18,2670000000
2019/2/1,sz50,2499.64,2502.1,2503.55,2479.34,2200000000
2019/2/11,sz50,2527.47,2485.5,2528.38,2484.65,2520000000
2019/2/12,sz50,2533.18,2528.1,2537.29,2515.03,2550000000
2019/2/13,sz50,2580.61,2538.42,2587.88,2528.23,3980000000
2019/2/14,sz50,2576.31,2572.64,2585.51,2564.87,2770000000
2019/2/15,sz50,2517.46,2566.34,2568.79,2515.89,3030000000
2019/2/18,sz50,2582.85,2540.53,2583.4,2540.3,3740000000
2019/2/19,sz50,2579.05,2586.86,2614.36,2568.18,3790000000
2019/2/20,sz50,2588.17,2593.79,2599.55,2569.98,3000000000
2019/2/21,sz50,2577.23,2586.74,2615.47,2569.48,3530000000
2019/2/22,sz50,2623.07,2576,2623.09,2555.73,4140000000
2019/2/25,sz50,2787.7,2652.91,2788.67,2652.91,9690000000
2019/2/26,sz50,2733.9,2781.31,2804.16,2729.48,8720000000
2019/2/27,sz50,2750.34,2739.11,2794.93,2722.31,7550000000
2019/2/28,sz50,2743.97,2749.87,2767.86,2733.03,4630000000
2019/3/1,sz50,2819.47,2764.95,2819.47,2747.21,5610000000
2019/3/4,sz50,2832.59,2839.4,2907.82,2816.98,9220000000
2019/3/5,sz50,2828.87,2829.5,2835.11,2807.12,6030000000
2019/3/6,sz50,2840.27,2827.86,2847.38,2797.5,6950000000
2019/3/7,sz50,2789.7,2831.36,2831.36,2773.35,7330000000
2019/3/8,sz50,2685.59,2731.53,2753.55,2684.2,7200000000
2019/3/11,sz50,2708.6,2683.76,2714.09,2670.79,5200000000
2019/3/12,sz50,2719.77,2730.53,2759.61,2704.69,6490000000
2019/3/13,sz50,2723.96,2731.5,2747.96,2699.98,5410000000
2019/3/14,sz50,2729.13,2720.19,2752.66,2716.27,4350000000
2019/3/15,sz50,2755.81,2736,2783.51,2735.86,4410000000
2019/3/18,sz50,2825.18,2763.23,2827.26,2749.2,6160000000
2019/3/19,sz50,2806.9,2830.24,2842.45,2797.72,4350000000
2019/3/20,sz50,2812.92,2799.32,2831.63,2787.28,4030000000
2019/3/21,sz50,2802.96,2816.45,2822.63,2799.83,4360000000
2019/3/22,sz50,2795.39,2804.72,2813.52,2771.96,3600000000
2019/3/25,sz50,2718.18,2757.81,2765.84,2717.29,5210000000
2019/3/26,sz50,2706.15,2737.37,2739.29,2693.91,4010000000
2019/3/27,sz50,2741.59,2721.14,2751.72,2714.09,3350000000
2019/3/28,sz50,2733.97,2728.04,2742.7,2709.39,3180000000
2019/3/29,sz50,2838.51,2747.54,2845.23,2746.11,5970000000
2019/4/1,sz50,2892.62,2860.14,2906.15,2860.14,7790000000
2019/4/2,sz50,2888.53,2900.63,2903.87,2878.39,6120000000
2019/4/3,sz50,2920,2869.85,2923.92,2865.3,6470000000
2019/4/4,sz50,2951.98,2927.1,2959.59,2921.2,7300000000
2019/4/8,sz50,2962.27,2978.5,3007.83,2938.65,7450000000
2019/4/9,sz50,2967.51,2968.08,2980.12,2948.31,5080000000
2019/4/10,sz50,2979.1,2957.27,2996.41,2941.35,4870000000
2019/4/11,sz50,2928.43,2982.39,3000.1,2920.19,4280000000
2019/4/12,sz50,2920.52,2920.55,2933.45,2903.27,3250000000
2019/4/15,sz50,2924.93,2973.02,2999.33,2924.6,5840000000
2019/4/16,sz50,3023.03,2914.99,3023.03,2909.66,7080000000
2019/4/17,sz50,3017.42,3017.39,3035.41,2996.76,5000000000
2019/4/18,sz50,3004.92,3014.91,3019.54,2993.27,3970000000
2019/4/19,sz50,3042.43,3013.67,3043.93,2989.55,3990000000
2019/4/22,sz50,2970.49,3047.43,3048.82,2962.36,5680000000
2019/4/23,sz50,2978.85,2968,3007.35,2964.98,4110000000
2019/4/24,sz50,2974.85,2989.96,3001.53,2933.53,3540000000
2019/4/25,sz50,2927.99,2962.74,2973.22,2924.02,3890000000
2019/4/26,sz50,2892.86,2913.77,2930.21,2892.53,3660000000
2019/4/29,sz50,2939.41,2906.47,2968.16,2899.83,3920000000
2019/4/30,sz50,2945.24,2935.24,2955.88,2919.49,3210000000
2019/5/6,sz50,2805.04,2853.88,2867.6,2768.8,6240000000
2019/5/7,sz50,2806.26,2814.47,2833.2,2777.73,3540000000
2019/5/8,sz50,2758.24,2753.61,2796.47,2750.93,3040000000
2019/5/9,sz50,2698.78,2740.35,2748.01,2686.47,3080000000
2019/5/10,sz50,2793.76,2731.58,2798.87,2698.81,3950000000
2019/5/13,sz50,2741.11,2751.76,2767.48,2736.84,2660000000
2019/5/14,sz50,2724.73,2716.73,2754.69,2716.73,2620000000
2019/5/15,sz50,2783.54,2743.78,2797.15,2743.78,3070000000
2019/5/16,sz50,2791.41,2777.85,2793.76,2766.15,2890000000
2019/5/17,sz50,2735.21,2792.08,2792.51,2728.93,3010000000
2019/5/20,sz50,2715.43,2726.07,2746.66,2697.61,3120000000
2019/5/21,sz50,2739.79,2717.87,2764.48,2712.04,2700000000
2019/5/22,sz50,2725.73,2739.11,2745.86,2714.65,2320000000
2019/5/23,sz50,2685.93,2710.57,2713.94,2679.54,2780000000
2019/5/24,sz50,2702.03,2693.88,2722.34,2692.53,2120000000
2019/5/27,sz50,2722.33,2696.26,2731.3,2667.38,2720000000
2019/5/28,sz50,2748.8,2719.06,2759.78,2716.31,3470000000
2019/5/29,sz50,2755.81,2728.44,2780.31,2724.85,2490000000
